test_index,test_text,predicted_label,true_label,neighbor_index,neighbor_label,neighbor_distance,neighbor_text
6,lebih buat kecewa tindak polisi,negatif,negatif,15,Negatif,1.0766200085665034,masyarakat kecewa polisi
6,lebih buat kecewa tindak polisi,negatif,negatif,836,Negatif,1.095106538131933,harap lebih kasus jadi kecewa sama polisi
6,lebih buat kecewa tindak polisi,negatif,negatif,111,Negatif,1.1029858088374906,lapor buat tindak tak pernah nyata
6,lebih buat kecewa tindak polisi,negatif,negatif,65,Negatif,1.1119559120806484,kecewa kinerja polisi
6,lebih buat kecewa tindak polisi,negatif,negatif,1012,Positif,1.1208318434293671,polisi makin transparan buat rakyat lebih percaya
6,lebih buat kecewa tindak polisi,negatif,negatif,533,Negatif,1.1242490261211473,kecewa hari polisi
6,lebih buat kecewa tindak polisi,negatif,negatif,1307,Positif,1.1399934806251348,salut buat polisi benar kerja buat adil
6,lebih buat kecewa tindak polisi,negatif,negatif,1259,Negatif,1.1540649304457122,rakyat kecewa kinerja polisi
7,terima kasih pak polisi selalu jujur adil,positif,positif,513,Positif,0.769596266819208,pak polisi terima kasih
7,terima kasih pak polisi selalu jujur adil,positif,positif,1420,Positif,0.769596266819208,terima kasih pak polisi
7,terima kasih pak polisi selalu jujur adil,positif,positif,983,Positif,0.8526052350052856,terima kasih pak polisi selalu hadir layan
7,terima kasih pak polisi selalu jujur adil,positif,positif,1010,Positif,0.8856496573407484,terima kasih pak polisi baik
7,terima kasih pak polisi selalu jujur adil,positif,positif,389,Positif,0.8979211424258803,polisi jujur adil
7,terima kasih pak polisi selalu jujur adil,positif,positif,850,Positif,0.9390634732697049,terima kasih pak polisi bantu aman
7,terima kasih pak polisi selalu jujur adil,positif,positif,1072,Positif,0.9462349989607747,terima kasih dukung pak polisi
7,terima kasih pak polisi selalu jujur adil,positif,positif,921,Positif,0.9654231721092658,terima kasih pak polisi atur jalan
7,terima kasih pak polisi selalu jujur adil,positif,positif,1392,Positif,0.9892534544734858,salut banget sama pak polisi terima kasih pak
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,473,Negatif,1.1897775651208313,takut bukti jelas tindak
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,949,Negatif,1.2010477210366248,banyak kasus cuma jadi berita tindak lanjut
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,1098,Netral,1.2314658259319358,baru beri nyata lapor lewat aplikasi pernah pakai
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,638,Negatif,1.2337456511795502,lapor hilang motor respons lambat kesan tindak lanjut
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,510,Negatif,1.2373785687878318,jengkel lihat bukti jelas tetap proses
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,511,Netral,1.2486569353908699,tindak polisi dasar bukti prosedur jelas
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,529,Netral,1.2667676389743192,polisi milik mekanisme adu masyarakat butuh
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,1250,Negatif,1.273437212138979,lapor tipu online tugas malah bilang biasa proses makan waktu lama kurang simpatik
8,proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas,negatif,positif,102,Negatif,1.2738541589421648,polisi lihat pilih tindak langgar lalu lintas jelas salah lewat
9,senang lihat polisi bantu masyarakat,positif,positif,1087,Positif,0.9182676525449697,masyarakat senang lihat polisi aktif jaga tertib
9,senang lihat polisi bantu masyarakat,positif,positif,897,Positif,1.0376276444465637,masyarakat indonesia semua senang polisi jujur adil
9,senang lihat polisi bantu masyarakat,positif,positif,1050,Positif,1.0532867052266794,senang banget lihat polw
9,senang lihat polisi bantu masyarakat,positif,positif,124,Positif,1.0576722396281062,senang lihat polisi ikut bersih lingkung
9,senang lihat polisi bantu masyarakat,positif,positif,470,Positif,1.0576990266543262,senang kali lihat polisi makin transparan kerja
9,senang lihat polisi bantu masyarakat,positif,positif,857,Positif,1.0703977043099484,senang rasa polisi dengar keluh kesah masyarakat ayom masyarakat
9,senang lihat polisi bantu masyarakat,positif,positif,1141,Positif,1.1097326855411231,sungguh senang lihat polisi makin bersih transparan
9,senang lihat polisi bantu masyarakat,positif,positif,733,Positif,1.1121582537925065,senang kali lihat polisi jujur tanggung jawab tugas
9,senang lihat polisi bantu masyarakat,positif,positif,625,Positif,1.116029826502326,senang polisi sigap responsif
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1272,Positif,0.9671037183291867,lihat sendiri polisi bantu evakuasi pohon tumbang jalan raya cepat kompak kerja
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1228,Netral,1.202686402853766,pernah lihat polisi bantu ibu tua seberang jalan orang cuma lewat polisi henti
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,831,Positif,1.2130463133733567,pernah lihat polisi turun langsung bantu warga korban bakar bukan jaga ikut angkat barang
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,233,Positif,1.2381548034917278,sangat bantu motor mogok jalan polisi patroli langsung datang bantu dorong pinggir
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1436,Netral,1.240925328753844,beberapa polisi lihat bantu pos vaksinasi kerja bareng nakes oke sih
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,218,Netral,1.2436320140029045,pernah urus langsung polisi lama lihat hadir bagai giat masyarakat
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1459,Netral,1.2468581902471383,sumpah polisi sih
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1270,Netral,1.2484179027748894,pernah urus langsung polisi jadi komentar banyak
10,pernah lihat polisi bantu sih jalan pohon tumbang cuma jaga langsung kerja,netral,positif,1351,Negatif,1.2501006223817357,sih kerja pakai hati nurani
11,takut adil tak pernah benar,negatif,negatif,111,Negatif,1.0678380584949323,lapor buat tindak tak pernah nyata
11,takut adil tak pernah benar,negatif,negatif,205,Negatif,1.0778185126398745,polisi hadir mana rasa aman tak pernah
11,takut adil tak pernah benar,negatif,negatif,864,Negatif,1.1169694589033294,takut nyata adil beli polisi selalu pihak benar
11,takut adil tak pernah benar,negatif,negatif,310,Negatif,1.1277051899710147,kasus lama tak pernah ujung tumpuk
11,takut adil tak pernah benar,negatif,negatif,935,Negatif,1.1278517270480177,takut kalau polisi benar tegak hukum
11,takut adil tak pernah benar,negatif,negatif,752,Negatif,1.1280086326781982,rakyat tangis adil tetap tak datang
11,takut adil tak pernah benar,negatif,negatif,931,Negatif,1.1295726911728579,hukum rasa takut tegak benar
11,takut adil tak pernah benar,negatif,negatif,54,Negatif,1.1622489087555334,rasa pedih lihat korban tak dapat adil
11,takut adil tak pernah benar,negatif,negatif,853,Negatif,1.173541768802842,takut lapor yakin tindak adil
12,sedih lihat hukum tak pihak lemah,negatif,negatif,1000,Negatif,0.7827520344778415,sedih lihat hukum tak pihak rakyat kecil
12,sedih lihat hukum tak pihak lemah,negatif,negatif,785,Negatif,1.033917524971696,tak harap hukum pihak kuat
12,sedih lihat hukum tak pihak lemah,negatif,negatif,602,Negatif,1.0657713500236297,sedih lihat aparat tak jadi harap rakyat
12,sedih lihat hukum tak pihak lemah,negatif,negatif,1269,Positif,1.096487951528926,harap polisi selalu lindung lemah
12,sedih lihat hukum tak pihak lemah,negatif,negatif,941,Negatif,1.1010305089801191,sedih lihat rakyat hilang percaya hukum
12,sedih lihat hukum tak pihak lemah,negatif,negatif,326,Negatif,1.1504403254253879,sedih lihat hukum tajam bawah
12,sedih lihat hukum tak pihak lemah,negatif,negatif,524,Negatif,1.1599045438386264,sedih lihat korban adil
12,sedih lihat hukum tak pihak lemah,negatif,negatif,621,Negatif,1.1608864808409207,sedih lihat hukum main lelucon
12,sedih lihat hukum tak pihak lemah,negatif,negatif,644,Netral,1.1629000760079427,tugas polisi tegak hukum adil pihak
13,takut kalau adil milik kuasa,negatif,negatif,757,Negatif,0.999202198651657,adil semua bukan kuasa
13,takut kalau adil milik kuasa,negatif,negatif,666,Negatif,1.0189512666587872,takut kalau polisi justru salah guna kuasa
13,takut kalau adil milik kuasa,negatif,negatif,846,Negatif,1.0948941636392686,kalau kasih adil mundur aja jangan sok kuasa
13,takut kalau adil milik kuasa,negatif,negatif,795,Negatif,1.1025168797384357,kadang takut hukum pihak punya kuasa
13,takut kalau adil milik kuasa,negatif,negatif,1291,Negatif,1.1185738512832688,hukum main kuasa
13,takut kalau adil milik kuasa,negatif,negatif,1002,Negatif,1.1318846286430044,ngeri kalau aparat lebih pihak kuasa rakyat
13,takut kalau adil milik kuasa,negatif,negatif,134,Negatif,1.137879064953788,takut kalau nyata adil buat rakyat biasa
13,takut kalau adil milik kuasa,negatif,negatif,370,Negatif,1.1519855978950926,takut kalau adil mimpi negeri
13,takut kalau adil milik kuasa,negatif,negatif,202,Negatif,1.1697765908604378,kalau rakyat kalian bukan siapa jangan sok kuasa
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,1009,Netral,0.9138397166964971,polisi tugas atur lalu lintas lancar transportasi
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,62,Positif,1.0713368087318766,acara besar kota polisi atur aman baik lalu lintas tetap lancar suasana kondusif
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,303,Positif,1.1203378198506995,terima kasih jaga tertib mudik lebaran lalu lintas jadi lebih atur
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,819,Netral,1.1389921119692834,polisi milik peran penting jaga aman masyarakat
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,505,Netral,1.1516884669258667,polisi milik peran penting jaga aman tertib
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,1223,Positif,1.1599587562963973,pernah jebak macet celaka polisi sigap atur lalu lintas buat situasi lebih atur
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,921,Positif,1.1637646021259354,terima kasih pak polisi atur jalan
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,751,Netral,1.1699939724625423,polisi sempat atur lalu lintas lampu merah mati
14,polisi peran atur lalu lintas jaga lancar jalan,netral,netral,323,Netral,1.1775430058541467,pernah lihat polisi bantu atur arus lampu lalu lintas mati
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,94,Negatif,1.234692273268545,suara rakyat selalu abai
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,587,Negatif,1.2373348042109964,sering kali rakyat takut suara polisi
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,191,Negatif,1.2424564706004413,jengkel lihat polisi main keras
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,1380,Positif,1.2512288743772795,percaya polisi baik kerja keras
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,1491,Positif,1.2527213440342255,bangga lihat polisi kerja keras jaga aman masyarakat
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,563,Netral,1.2677460100365516,polisi keliling kampung pakai mobil bunyi sirene pelan mungkin patroli rutin
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,220,Netral,1.270988795976061,polisi lihat pasang spanduk imbau tertib lalu lintas pinggir jalan
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,1397,Netral,1.2779107860684746,lihat tugas polisi keliling pakai motor sore hari semua wilayah lewat
15,lihat tugas bawa keras suara baca imbau keliling kampung,negatif,netral,385,Negatif,1.2798144665790405,sering baca berita polisi salah tangkap pernah minta maaf resmi biasa aja
16,yakin polisi tingkat profesionalisme tugas,netral,positif,585,Netral,1.031688088156031,evaluasi kala kinerja polisi penting tingkat profesionalisme
16,yakin polisi tingkat profesionalisme tugas,netral,positif,1180,Netral,1.0463081511717567,latih kembang terus perlu tingkat profesionalisme
16,yakin polisi tingkat profesionalisme tugas,netral,positif,796,Netral,1.0730931641546684,program tingkat kualitas sdm polisi bantu profesionalisme kerja
16,yakin polisi tingkat profesionalisme tugas,netral,positif,1465,Netral,1.11114206913902,profesionalisme polisi kunci percaya rakyat
16,yakin polisi tingkat profesionalisme tugas,netral,positif,872,Positif,1.1483740286410087,polisi kerja profesionalisme tinggi selalu hormat
16,yakin polisi tingkat profesionalisme tugas,netral,positif,1494,Netral,1.149130555966293,teknologi bantu polisi tingkat efektivitas tugas
16,yakin polisi tingkat profesionalisme tugas,netral,positif,263,Positif,1.1741426693062926,yakin polisi jalan tugas intervensi pihak mana
16,yakin polisi tingkat profesionalisme tugas,netral,positif,571,Positif,1.1784172655936571,yakin polisi jaga adil semua
16,yakin polisi tingkat profesionalisme tugas,netral,positif,1216,Positif,1.179573453386152,yakin polisi benar lindung rakyat
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,1223,Positif,1.1009662162022085,pernah jebak macet celaka polisi sigap atur lalu lintas buat situasi lebih atur
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,1028,Netral,1.1271964394151988,kalau macet empat besar kadang polisi bantu atur lalu lintas kadang
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,970,Positif,1.1362481369977355,rasa lebih nyaman bawa kendara beri polisi lalu lintas sering patroli rute rawan celaka
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,338,Positif,1.1389149037964048,beberapa kali lihat polisi sigap atur lalu lintas jam pulang kerja salut buat tetap semangat macet
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,102,Negatif,1.1569350916460073,polisi lihat pilih tindak langgar lalu lintas jelas salah lewat
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,323,Netral,1.1858944347414366,pernah lihat polisi bantu atur arus lampu lalu lintas mati
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,36,Netral,1.1859924109860271,pernah lihat polisi diri empat lampu merah atur lalu lintas
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,1009,Netral,1.1881248271759008,polisi tugas atur lalu lintas lancar transportasi
17,polisi sering lewat jalan rawan macet cuma lihat atur lalu lintas,netral,negatif,146,Negatif,1.1884996392031184,tugas lalu lintas malah asyik main hp kendara macet parah upaya atur arus
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,498,Netral,1.0764865938213921,pernah lewat pos polisi hujan tugas lihat duduk pos lihat sedang aktivitas luar
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,121,Positif,1.07681725180603,waktu mudik lebaran polisi jaga pos pantau panjang jalan bikin jalan lebih aman
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,1134,Netral,1.0853277940929955,pos aman lebaran banyak jaga polisi fungsi lebih pantau lalu lintas istirahat mudik
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,280,Netral,1.0961991454597417,pernah lihat polisi duduk pos aman dekat halte lihat aktivitas
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,1445,Netral,1.1083866429753595,polisi parkir kendara dekat pos lantas lalu duduk bangku taman
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,830,Netral,1.1333991765392872,tugas jaga pos pinggir jalan lihat interaksi kendara
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,1071,Netral,1.1346775091596826,polisi lihat hadir acara lomba an kampung duduk pos
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,805,Netral,1.174028879086783,polisi duduk pos aman bincang lalu alat komunikasi
18,pos lebaran lihat polisi duduk pantau kendara,netral,netral,717,Netral,1.2006079152329683,terminal bis polisi duduk pantau aktivitas tumpang keluar masuk
19,polisi tegas biar rakyat hidup takut,negatif,negatif,681,Negatif,0.9954889634279733,polisi perlu lebih tegas biar rakyat rasa aman
19,polisi tegas biar rakyat hidup takut,negatif,negatif,337,Negatif,1.1916277449832744,lihat jahat bebas keliar makin ngeri hidup sini
19,polisi tegas biar rakyat hidup takut,negatif,negatif,549,Negatif,1.2138464739528831,rasa aman kalau jahat biar
19,polisi tegas biar rakyat hidup takut,negatif,negatif,922,Positif,1.2281207625426094,polisi indonesia tegas jujur adil
19,polisi tegas biar rakyat hidup takut,negatif,negatif,1401,Negatif,1.2282686823032785,cuma lapor kalau akhir biar
19,polisi tegas biar rakyat hidup takut,negatif,negatif,684,Positif,1.2298642827734834,bangga polisi tegas bijak
19,polisi tegas biar rakyat hidup takut,negatif,negatif,913,Negatif,1.2300800580458653,rakyat kecil selalu takut urus polisi
19,polisi tegas biar rakyat hidup takut,negatif,negatif,632,Netral,1.232367552499794,masyarakat butuh polisi responsif tegas
19,polisi tegas biar rakyat hidup takut,negatif,negatif,1400,Negatif,1.2329450178972594,takut hukum lindung rakyat kecil
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,1467,Netral,0.8692988130980107,hujan deras lihat tugas polisi bantu atur lalu lintas meski banyak bicara
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,777,Netral,0.9087451847249692,hujan deras banjir kecil polisi datang bantu arah lalu lintas
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,1231,Positif,0.999849551971231,lihat polisi ikut atur lalu lintas sabar meski hujan deras pernah lihat lelah
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,607,Netral,1.0337802053683427,lihat polisi atur lalu lintas waktu hujan deras tetap diri memang tugas
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,165,Netral,1.1963897909631909,himbau polisi lewat toa keliling waktu musim hujan isi pesan standar soal waspada banjir
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,25,Netral,1.2037735546809514,polisi lihat amat situasi hujan turun deras jalan utama
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,1210,Positif,1.2073738572931263,terima kasih polisi bantu banjir kemarin
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,323,Netral,1.211524463953275,pernah lihat polisi bantu atur arus lampu lalu lintas mati
20,apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan,netral,positif,1458,Positif,1.2126061883592971,apresiasi tugas polantas sabar atur lalu lintas demo besar tetap tenang humanis
21,pak polisi bantu bapak,positif,positif,1104,Positif,0.7880882040419209,terima kasih bapak polisi bantu
21,pak polisi bantu bapak,positif,positif,1089,Positif,0.9490475985726362,terima kasih bapak polisi
21,pak polisi bantu bapak,positif,positif,352,Positif,0.9957134693642734,terima kasih bapak polisi semua sehat terus pak
21,pak polisi bantu bapak,positif,positif,113,Positif,1.0090783594093342,terima kasih bapak polisi rela bantu warga
21,pak polisi bantu bapak,positif,positif,850,Positif,1.0345730929638972,terima kasih pak polisi bantu aman
21,pak polisi bantu bapak,positif,positif,1047,Positif,1.07587909960356,keren terima kasih bapak polisi
21,pak polisi bantu bapak,positif,positif,1492,Positif,1.08017540772586,terima kasih atas kinerja bapak polisi
21,pak polisi bantu bapak,positif,positif,431,Positif,1.0813570484887023,terima kasih bapak polisi tindak tegas
21,pak polisi bantu bapak,positif,positif,1392,Positif,1.1458805606466211,salut banget sama pak polisi terima kasih pak
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,744,Netral,1.0622456124985566,kasus lapor proses suai prosedur
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,294,Netral,1.0773201592138686,urus sim makan waktu jam proses suai prosedur lalu cepat lalu lama
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,1095,Positif,1.1047757326357734,sim hilang proses buat ulang cepat mudah
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,471,Netral,1.1272892977604776,lapor masuk proses suai prosedur hukum laku
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,522,Netral,1.1470059825776933,surat tilang lewat pos tle proses ikut suai prosedur aja
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,811,Netral,1.1946917882819428,lapor masyarakat tindaklanjut suai prosedur
22,waktu sim hilang suruh buat baru proses biasa aja suai prosedur,netral,netral,1154,Netral,1.2020189825149483,polisi pernah datang kosan buat verifikasi lapor hilang biasa aja sih lalu banyak tanya
